"page_id","title","path","draft","template","archived","intended_version","marker_target_kind","marker_target_component","marker_target_element","existing_version_marker"
"684987756493653cc7c5a599","Form","/static-template-slug-1743258899072","true","false","false","v1","page_main","684987756493653cc7c5a599","1e7df74d-d46e-5da3-b2d1-e36ce0aad701","no"
"684987756493653cc7c5a585","Prep Calculator","/other-pages/prep-calculator","false","false","false","v1","Body","684987756493653cc7c5a585","67dbeee5cfd00c8d348c3789","no"
"684987756493653cc7c5a584","PXM Demo (Form)","/other-pages/pxm-demo","false","false","false","v1","page_main","684987756493653cc7c5a584","9bdc7ca6-a98f-4813-c39d-a59bc0f07591","no"
"684987756493653cc7c5a570","Advertising Technology","/products/advertising-technology","false","false","false","v1","page_main","684987756493653cc7c5a570","54004d1b-fc17-6b19-c3c5-9d7a26810eeb","no"
"684987756493653cc7c5a56f","Videos","/admin/videos","true","false","false","v1","page_main","684987756493653cc7c5a56f","bb36f3b0-7a9c-3a2a-e647-0ef4f291db61","no"
"684987756493653cc7c5a56e","Home Hero Sliders Template","/home-hero-slider","false","true","false","v1","Body","684987756493653cc7c5a56e","67c89c369f978cf5ed027948","no"
"684987756493653cc7c5a56d","Legals Template","/legal","false","true","false","v1","page_main","684987756493653cc7c5a56d","669d504c-6b80-bc2d-c218-0bcea17bb979","no"
"684987756493653cc7c5a56c","Partner Success Stories","/resources/partner-success-stories","false","false","false","v1","page_main","684987756493653cc7c5a56c","721dde55-ebd3-72c6-58e9-809a5147f5ed","no"
"684987756493653cc7c5a56b","Reports","/resources/reports","false","false","false","v1","page_main","684987756493653cc7c5a56b","044ef177-bcf8-b092-9cde-721ef7e6ad84","no"
"684987756493653cc7c5a56a","Newsroom","/about/newsroom","false","false","false","v1","page_main","684987756493653cc7c5a56a","f8c6059b-2c2c-1a00-2281-93433f062aed","no"
"684987756493653cc7c5a569","Webinars & Podcasts","/resources/webinars-and-podcasts","false","false","false","v1","page_main","684987756493653cc7c5a569","426f30c2-bff2-d860-98fd-88877979529c","no"
"684987756493653cc7c5a568","eBooks","/resources/ebooks","false","false","false","v1","page_main","684987756493653cc7c5a568","9ff21988-9eb6-3c4e-5152-e34fb5245df3","no"
